"","V1","V2"
"1",1,1
"2",0.374343855205883,0.374343855205863
"3",0.775369193203786,0.775369193203782
"4",-0.977662984524756,-0.977662984524762
"5",0.0614885870193559,0.0614885870193538
"6",0.536188716485036,0.536188716485045
"7",0.451287741356099,0.451287741356314
"8",0.89242878318301,0.892428783183006
"9",-0.851877570229641,-0.851877570229635
"10",0.34245989229176,0.34245989229171
"11",0.559866674062097,0.559866674062095
"12",0.601570333306057,0.60157033330606
"13",0.686568584983271,0.686568584983282
"14",-0.938058526935753,-0.938058526935764
"15",0.567924173805284,0.567924173805327
"16",0.52676276061498,0.526762760614985
"17",0.0609277024997381,0.0609277024997453
"18",0.539129238132873,0.539129238132848
"19",-0.567652225308097,-0.567652225308103
"20",0.210972318885944,0.210972318885959
"21",0.792175336908125,0.792175336908109
"22",0.563314219341174,0.563314219341182
"23",0.941306103027096,0.941306103027095
"24",-1.08394782209024,-1.08394782209023
"25",0.399906856994832,0.399906856994836
"26",0.891899318856607,0.891899318856619
"27",0.516116369727576,0.516116369727591
"28",0.629388628910248,0.629388628910261
"29",-0.947141714383332,-0.947141714383354
"30",0.347983794843842,0.347983794843849
"31",0.627839861579777,0.627839861579764
"32",0.531728980027561,0.531728980027534
"33",0.697846660094153,0.697846660094166
"34",-0.790139126765199,-0.790139126765189
"35",0.293168394134617,0.29316839413461
"36",0.657547087132377,0.657547087132363
"37",0.658946224639223,0.658946224639213
"38",0.728092023232439,0.728092023232458
"39",-1.06036318502504,-1.06036318502503
"40",0.35406901408216,0.354069014082157
"41",0.937588450432131,0.937588450432076
"42",0.394548920712225,0.394548920712242
"43",0.660726903291411,0.660726903291361
"44",-0.874488489663878,-0.874488489663878
"45",0.508724498762263,0.508724498762268
"46",0.610551385856877,0.610551385856905
"47",0.656178177819607,0.656178177819597
"48",0.684860322635304,0.684860322635309
"49",-0.591620454707124,-0.591620454707128
"50",0.274917750568547,0.274917750568535
"51",0.683674727443871,0.683674727443876
"52",0.463290935887603,0.463290935887445
"53",0.677070642990219,0.677070642990202
"54",-1.1012002624909,-1.10120026249089
"55",0.270942781074437,0.270942781074443
"56",0.782302989416805,0.782302989416863
"57",0.622753968887493,0.622753968887469
"58",0.617651460529188,0.617651460529185
"59",-0.826267528500144,-0.826267528500113
"60",0.60411898729227,0.604118987292246
