"","V1","V2","V3"
"1",1.43397667466141,0,0
"2",0.932688026978956,0,0
"3",0.724430800222041,0,0
"4",-1.21012993493081,0,0
"5",0.0575995160920814,0,0
"6",0.827952920953061,0,0
"7",1.41451370710026,0,0
"8",0.860906372488733,0,0
"9",-1.42125062439764,0,0
"10",0.961735258995144,0,0
"11",0.720423421396499,0,0
"12",0.619363127455248,0,0
"13",1.54648529140153,0,0
"14",-0.736098879368943,0,0
"15",1.23431598347979,0,0
"16",0.456279700872054,0,0
"17",0.0243147247669457,0,0
"18",0.97417338830024,0,0
"19",-0.424289566852743,0,0
"20",0.540962340090566,0,0
"21",0,0.896420583572974,0
"22",0,0.782700529093647,0
"23",0,1.39563488154149,0
"24",0,-1.572440276495,0
"25",0,0.497179991997278,0
"26",0,1.22860016997127,0
"27",0,0.507918215412182,0
"28",0,0.884544920561349,0
"29",0,-1.21230831754481,0
"30",0,0.407958242525147,0
"31",0,0.848686310010352,0
"32",0,0.734175922461927,0
"33",0,0.835822836758219,0
"34",0,-1.11670973679647,0
"35",0,0.265132207756235,0
"36",0,0.947355686536011,0
"37",0,0.855247811647267,0
"38",0,1.21738370893287,0
"39",0,-1.53622577213291,0
"40",0,0.388760164014226,0
"41",0,0,1.57913723772384
"42",0,0,0.348959247907998
"43",0,0,1.40511059332396
"44",0,0,-1.10311243209053
"45",0,0,0.685186802295512
"46",0,0,0.868884756260412
"47",0,0,0.760152296546561
"48",0,0,0.807189552370834
"49",0,0,-0.5702706070321
"50",0,0,0.357533125822296
"51",0,0,0.731600453579699
"52",0,0,1.21685340785637
"53",0,0,1.34449788212038
"54",0,0,-1.02226816433517
"55",0,0,0.371940980082057
"56",0,0,1.55853888726623
"57",0,0,1.00907486741835
"58",0,0,0.560183153834687
"59",0,0,-0.687018989345014
"60",0,0,1.13597528559787
