"","V1","V2","V3","V4"
"1",1,1,1,1
"2",0.37435723295633,0.374357232932876,0.374357232938521,0.374357232935599
"3",0.775375150054631,0.775375150062868,0.77537515006147,0.775375150062163
"4",-0.977666658575845,-0.977666658577218,-0.977666658576245,-0.977666658576788
"5",0.061534283717172,0.0615342837183197,0.0615342837184614,0.0615342837183596
"6",0.536196466940942,0.536196466930941,0.53619646693258,0.536196466931803
"7",0.451297880905053,0.451297880875911,0.451297880882887,0.451297880879293
"8",0.892436952257929,0.892436952270085,0.892436952267685,0.892436952268898
"9",-0.851883047967072,-0.851883047958038,-0.851883047959494,-0.851883047958785
"10",0.342471398595667,0.342471398568836,0.342471398575007,0.342471398571851
"11",0.55988969705075,0.559889697053757,0.559889697053554,0.559889697053618
"12",0.601580671137435,0.601580671147879,0.601580671146052,0.601580671146932
"13",0.686576503885471,0.686576503864653,0.686576503869336,0.686576503866957
"14",-0.938063007365148,-0.938063007385405,-0.938063007380963,-0.938063007383219
"15",0.567938609810945,0.567938609790499,0.567938609794848,0.567938609792653
"16",0.526797962428741,0.526797962438788,0.526797962436439,0.526797962437643
"17",0.0609682126511064,0.060968212653696,0.0609682126535231,0.060968212653579
"18",0.53913540554352,0.53913540553003,0.539135405533086,0.539135405531541
"19",-0.567655930895393,-0.567655930917049,-0.56765593091232,-0.567655930914714
"20",0.210988292208219,0.210988292188772,0.210988292193366,0.210988292191002
"21",0.79218854043241,0.792188540425002,0.792188540426052,0.792188540425576
"22",0.563332573040655,0.563332573046515,0.563332573045886,0.563332573046149
"23",0.941313604062774,0.941313604074471,0.941313604072194,0.941313604073341
"24",-1.08395510103222,-1.08395510103329,-1.0839551010324,-1.0839551010329
"25",0.399942828711125,0.399942828711126,0.399942828711567,0.399942828711315
"26",0.891908997308472,0.891908997318855,0.891908997316605,0.891908997317753
"27",0.516127661676585,0.516127661661583,0.516127661665072,0.516127661663264
"28",0.629401257007542,0.629401257019698,0.629401257017611,0.629401257018631
"29",-0.947143056326102,-0.947143056330751,-0.947143056329094,-0.947143056329983
"30",0.348028791351894,0.348028791352164,0.348028791352546,0.348028791352321
"31",0.627858331269988,0.627858331285178,0.627858331281554,0.627858331283419
"32",0.5317421696237,0.531742169604752,0.531742169609285,0.531742169606944
"33",0.697845919169432,0.697845919163152,0.697845919164549,0.69784591916385
"34",-0.790142065880569,-0.790142065903052,-0.790142065897776,-0.790142065900482
"35",0.293183572534864,0.293183572514618,0.293183572519439,0.293183572516955
"36",0.657563874499718,0.657563874505926,0.657563874504842,0.657563874505381
"37",0.658962599492966,0.658962599501275,0.658962599500064,0.658962599500622
"38",0.728099027894209,0.728099027873152,0.728099027877902,0.728099027875497
"39",-1.06037014265528,-1.06037014267958,-1.06037014267403,-1.06037014267687
"40",0.354082389579763,0.354082389556357,0.354082389561642,0.354082389558955
"41",0.937592431693639,0.937592431686606,0.937592431687597,0.937592431687128
"42",0.394555897571142,0.394555897587939,0.394555897584413,0.394555897586179
"43",0.660735461301574,0.66073546127763,0.66073546128315,0.660735461280332
"44",-0.874492656515897,-0.874492656515643,-0.874492656515216,-0.874492656515471
"45",0.508754962173811,0.508754962174807,0.508754962175201,0.508754962174957
"46",0.610567657500846,0.610567657492189,0.610567657493728,0.610567657492969
"47",0.656198725282854,0.65619872528913,0.656198725288368,0.656198725288694
"48",0.684868305015928,0.684868305020213,0.684868305019856,0.684868305020005
"49",-0.591608667057469,-0.591608667061978,-0.591608667060329,-0.591608667061217
"50",0.274963613030603,0.274963613028051,0.274963613029144,0.274963613028544
"51",0.683690050676481,0.683690050683393,0.683690050681891,0.683690050682669
"52",0.463298049598482,0.463298049571481,0.463298049578029,0.463298049574647
"53",0.677082777868501,0.677082777847611,0.677082777852316,0.677082777849931
"54",-1.10120467919107,-1.10120467921392,-1.10120467920873,-1.10120467921138
"55",0.270973509473778,0.270973509473585,0.270973509474206,0.270973509473847
"56",0.782315188765226,0.782315188748869,0.782315188752248,0.782315188750536
"57",0.62276655478732,0.62276655477713,0.622766554779291,0.622766554778176
"58",0.617661890095553,0.617661890106584,0.617661890104623,0.61766189010559
"59",-0.826273642178363,-0.826273642197089,-0.826273642192893,-0.826273642195036
"60",0.604133444962216,0.604133444943894,0.604133444947782,0.60413344494582
