"","V1"
"1",1
"2",0.374344139060048
"3",0.775378453629848
"4",-0.977660304271767
"5",0.0615049465868717
"6",0.536183150455449
"7",0.451287796071383
"8",0.892436986014839
"9",-0.851872517899222
"10",0.342460333286258
"11",0.559875677707933
"12",0.601580094123967
"13",0.686568775615864
"14",-0.938065045662876
"15",0.567924945001652
"16",0.526773478089935
"17",0.060949893051131
"18",0.539128672681941
"19",-0.56765758353707
"20",0.210973808931602
"21",0.792170819734056
"22",0.563326190057063
"23",0.941312615969929
"24",-1.08394452382492
"25",0.399920642418808
"26",0.891904223578549
"27",0.516117176262494
"28",0.629399869907338
"29",-0.947140756992531
"30",0.347998222714135
"31",0.627846379854028
"32",0.531730011447649
"33",0.697846391911661
"34",-0.790142478920748
"35",0.29316928282741
"36",0.657555160897681
"37",0.65895874789382
"38",0.728092108106814
"39",-1.06037172289518
"40",0.354068480742557
"41",0.937581988864308
"42",0.394556257564766
"43",0.660727300663114
"44",-0.874486948450517
"45",0.508736414094219
"46",0.610556100136852
"47",0.65618829747176
"48",0.684868331011531
"49",-0.591612025314845
"50",0.274930922549759
"51",0.683680379037468
"52",0.4632903741586
"53",0.677071095278016
"54",-1.10120852128071
"55",0.270955292208546
"56",0.782302182435503
"57",0.622754367831243
"58",0.617662331609886
"59",-0.826271507082486
"60",0.604119193047877
