"","V1","V2","V3","V4","V5"
"1",0.680947599031521,0,0,0,0
"2",0.415366829252628,0,0,0,0
"3",0.179278301489759,0,0,0,0
"4",-0.523345130321395,0,0,0,0
"5",-0.015566079457279,0,0,0,0
"6",0.407739011289604,0,0,0,0
"7",0.652783476007453,0,0,0,0
"8",0.261811212578477,0,0,0,0
"9",-0.832572458063854,0,0,0,0
"10",0.442227816832153,0,0,0,0
"11",0.237672952556176,0,0,0,0
"12",0.206809242926111,0,0,0,0
"13",0,0.681167775380077,0,0,0
"14",0,-0.507348689259528,0,0,0
"15",0,0.487421980199929,0,0,0
"16",0,0.228350832745352,0,0,0
"17",0,-0.00691910535534908,0,0,0
"18",0,0.392170262648242,0,0,0
"19",0,-0.350354263032041,0,0,0
"20",0,0.0817619409248122,0,0,0
"21",0,0.481365907931064,0,0,0
"22",0,0.252366838912441,0,0,0
"23",0,0.543504912926247,0,0,0
"24",0,-0.887264552504457,0,0,0
"25",0,0,0.248005235445318,0,0
"26",0,0,0.65922406400461,0,0
"27",0,0,0.151223725814885,0,0
"28",0,0,0.360028727689187,0,0
"29",0,0,-0.381617576469648,0,0
"30",0,0,0.188038222188738,0,0
"31",0,0,0.490443604137649,0,0
"32",0,0,0.224806536067009,0,0
"33",0,0,0.232058759221583,0,0
"34",0,0,-0.512375237509349,0,0
"35",0,0,0.0718322840495674,0,0
"36",0,0,0.53425393059013,0,0
"37",0,0,0,0.391685934292245,0
"38",0,0,0,0.962908791863976,0
"39",0,0,0,-0.453247945457531,0
"40",0,0,0,0.280670550804516,0
"41",0,0,0,0.556125060475024,0
"42",0,0,0,0.192101319926582,0
"43",0,0,0,0.899613577617171,0
"44",0,0,0,-0.504091266189568,0
"45",0,0,0,0.310035287964151,0
"46",0,0,0,0.246872307329061,0
"47",0,0,0,0.349719173686225,0
"48",0,0,0,0.479382712371097,0
"49",0,0,0,0,-0.193358401469985
"50",0,0,0,0,0.143899441914009
"51",0,0,0,0,0.324480422726552
"52",0,0,0,0,0.711646599023674
"53",0,0,0,0,0.70492315555621
"54",0,0,0,0,-0.359771372518107
"55",0,0,0,0,0.169243550041739
"56",0,0,0,0,0.753100143136263
"57",0,0,0,0,0.418561726725291
"58",0,0,0,0,0.201329796905246
"59",0,0,0,0,-0.244681525369823
"60",0,0,0,0,0.605852287367421
