"","V1","V2"
"1",0.717102220404832,0
"2",0.317388593584553,0
"3",0.369864082775822,0
"4",-0.735157697788603,0
"5",0.0132130976124506,0
"6",0.367979302826032,0
"7",0.624199625642692,0
"8",0.50025997832103,0
"9",-0.798671725439149,0
"10",0.373220059435912,0
"11",0.294459386547942,0
"12",0.333821062743656,0
"13",0.791971150974297,0
"14",-0.498960556633845,0
"15",0.568915278347772,0
"16",0.242132585326442,0
"17",0.00745336041363943,0
"18",0.431680107679269,0
"19",-0.339610239268871,0
"20",0.135669588642158,0
"21",0.539010312055212,0
"22",0.280794960044599,0
"23",0.511318563448966,0
"24",-0.95917438431697,0
"25",0.187387745948228,0
"26",0.519597914284509,0
"27",0.370075790123916,0
"28",0.308501643827837,0
"29",-0.682461280861124,0
"30",0.135384622476126,0
"31",0,0.284957672829341
"32",0,0.620645887270435
"33",0,0.469466656726245
"34",0,-0.322894818126714
"35",0,0.275319667215195
"36",0,0.415119287749718
"37",0,0.386597244704092
"38",0,1.06775781980882
"39",0,-0.554566882373516
"40",0,0.353071730764284
"41",0,0.706529896925456
"42",0,0.201279626786612
"43",0,0.9036704676967
"44",0,-0.578465210909611
"45",0,0.338506406533873
"46",0,0.313175662567157
"47",0,0.355337002640704
"48",0,0.487192934260603
"49",0,-0.221584352810894
"50",0,0.150544036284229
"51",0,0.354660612372898
"52",0,0.80646454247314
"53",0,0.808104384127777
"54",0,-0.542915848252036
"55",0,0.178169326687327
"56",0,0.73317114850539
"57",0,0.42599301140915
"58",0,0.326039387677301
"59",0,-0.365280643469807
"60",0,0.564977459025331
