"","V1"
"1",1.43360934131007
"2",0.747531136799796
"3",0.944818698868901
"4",-1.3338676302598
"5",0.0738591620520945
"6",0.717233064319029
"7",1.23488256943506
"8",1.12658098856839
"9",-1.37156077668668
"10",0.710365791561937
"11",0.782090038116167
"12",0.792780622248703
"13",1.50666100905557
"14",-1.06774361539567
"15",1.08816450510563
"16",0.55613078426205
"17",0.0743230450854014
"18",0.916305109205493
"19",-0.689391011002967
"20",0.405707516179665
"21",1.09503862218806
"22",0.776302121206366
"23",1.19576288178684
"24",-1.68290976455808
"25",0.518711776995822
"26",1.08440626351739
"27",0.828211771679375
"28",0.766341455896139
"29",-1.28434476703118
"30",0.456303609448997
"31",0.700309625229858
"32",1.11575420780617
"33",1.01935760489819
"34",-0.833044628066669
"35",0.556391461753929
"36",0.868632077061073
"37",0.82555174089969
"38",1.64114730516353
"39",-1.25476291373462
"40",0.66594114620349
"41",1.43439866513864
"42",0.410775664809387
"43",1.43979805444323
"44",-1.26637092337804
"45",0.697099162901972
"46",0.76534591035646
"47",0.779095386480032
"48",0.983654603942926
"49",-0.647429129027495
"50",0.333835361494645
"51",0.820700989366086
"52",1.17492598431965
"53",1.39996376881965
"54",-1.26495273990421
"55",0.379153685462783
"56",1.37044714632871
"57",0.912125343487135
"58",0.717543248377492
"59",-0.911216675924573
"60",1.08517131095678
