"","V1"
"1",0.712181526278425
"2",0.410133100545266
"3",0.421529536399965
"4",-0.660577340367271
"5",0.0291557477070492
"6",0.329393089536329
"7",0.817400300517316
"8",0.5241792189873
"9",-0.747007056575143
"10",0.433712563193759
"11",0.343346450572653
"12",0.384069316149742
"13",0.921799386277676
"14",-0.502574361187946
"15",0.618545937872312
"16",0.242874544911928
"17",0.0290827882314121
"18",0.485333218920735
"19",-0.341230926156737
"20",0.178616018356876
"21",0.517455188634795
"22",0.348118023925344
"23",0.544500071691374
"24",-0.881486075103538
"25",0.220410371138729
"26",0.523174208284573
"27",0.427014585490331
"28",0.368442443587251
"29",-0.633923055935159
"30",0.160092689041609
"31",0.307904829202474
"32",0.587001638753188
"33",0.511391406911073
"34",-0.367130387281534
"35",0.268299097709148
"36",0.427442456682952
"37",0.37901499431668
"38",1.0709488106422
"39",-0.620281636077036
"40",0.367486186877426
"41",0.795709082242476
"42",0.202784864696384
"43",0.911784096064032
"44",-0.680424256536923
"45",0.325523874326036
"46",0.341557646376551
"47",0.333499826275562
"48",0.473974920548197
"49",-0.255601004349102
"50",0.135784435486517
"51",0.37134371756832
"52",0.758700490085186
"53",0.812274079714692
"54",-0.60313407945526
"55",0.160487791219666
"56",0.765084172129463
"57",0.444317415453095
"58",0.321146132733327
"59",-0.414541925255858
"60",0.610112576849828
