E1_1,E1_2,E1_3,E2_1,E2_2,E2_3,E3_1,E3_2,E3_3,A1_1,A1_2,A1_3,A2_1,A2_2,A2_3,A3_1,A3_2,A3_3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,N1_1,N1_2,N1_3,N2_1,N2_2,N2_3,N3_1,N3_2,N3_3,O1_1,O1_2,O1_3,O2_1,O2_2,O2_3,O3_1,O3_2,O3_3,PID,day
4.0,4.0,,2.0,,4.0,2.0,,4.0,4.0,4.0,,4.0,4.0,,4.0,,2.0,4.0,,2.0,3.0,,4.0,3.0,4.0,,4.0,1.0,,5.0,,5.0,2.0,3.0,,,4.0,2.0,2.0,,2.0,,2.0,2.0,7,3.320577777777778
,5.0,2.0,4.0,3.0,,4.0,4.0,,,4.0,2.0,,4.0,2.0,4.0,,1.0,4.0,,2.0,5.0,3.0,,4.0,,2.0,,3.0,5.0,4.0,4.0,,2.0,,5.0,5.0,2.0,,5.0,4.0,,,4.0,4.0,7,3.3989777777777777
1.0,1.0,,1.0,1.0,,1.0,,4.0,3.0,,2.0,3.0,,3.0,3.0,,3.0,3.0,,3.0,,1.0,4.0,,3.0,3.0,,4.0,5.0,2.0,,2.0,,4.0,2.0,3.0,,2.0,,2.0,2.0,4.0,,2.0,7,4.005388888888889
,5.0,1.0,4.0,2.0,,4.0,,1.0,4.0,2.0,,,4.0,2.0,,2.0,2.0,3.0,,4.0,,1.0,2.0,4.0,,2.0,2.0,,4.0,2.0,,2.0,2.0,,2.0,4.0,,4.0,4.0,,2.0,4.0,,3.0,7,4.079755555555556
,5.0,2.0,4.0,,2.0,,4.0,2.0,,4.0,1.0,4.0,4.0,,4.0,,2.0,4.0,,2.0,3.0,1.0,,5.0,,1.0,,4.0,5.0,3.0,4.0,,,4.0,2.0,,2.0,4.0,4.0,,4.0,,2.0,4.0,7,4.166055555555555
5.0,5.0,,4.0,,3.0,4.0,4.0,,4.0,4.0,,,4.0,4.0,4.0,,2.0,,3.0,2.0,1.0,1.0,,,2.0,4.0,,4.0,5.0,,4.0,2.0,4.0,4.0,,5.0,,4.0,4.0,5.0,,,4.0,3.0,7,4.2407
,3.0,2.0,2.0,,2.0,,2.0,4.0,4.0,4.0,,4.0,,2.0,,2.0,2.0,4.0,2.0,,,2.0,3.0,2.0,,3.0,2.0,,4.0,,3.0,2.0,,4.0,2.0,4.0,4.0,,4.0,4.0,,2.0,4.0,,7,4.320677777777778
2.0,,4.0,1.0,,4.0,,2.0,4.0,,4.0,3.0,,1.0,2.0,,2.0,4.0,,2.0,4.0,,4.0,2.0,,3.0,2.0,3.0,,3.0,,3.0,2.0,,4.0,2.0,,2.0,3.0,4.0,4.0,,2.0,,4.0,7,4.398344444444445
2.0,,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,,3.0,3.0,,2.0,1.0,,2.0,4.0,,2.0,,5.0,2.0,,2.0,,4.0,2.0,1.0,,1.0,,1.0,1.0,5.0,1.0,,7,5.0809444444444445
1.0,,4.0,2.0,2.0,,1.0,2.0,,,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,,3.0,1.0,,5.0,,4.0,5.0,2.0,2.0,,,1.0,4.0,4.0,,2.0,1.0,4.0,,2.0,2.0,,4.0,,2.0,7,5.158211111111111
,1.0,5.0,1.0,,4.0,,1.0,5.0,,3.0,3.0,,3.0,3.0,,3.0,3.0,4.0,,1.0,3.0,4.0,,,2.0,2.0,4.0,2.0,,,2.0,4.0,,4.0,4.0,,2.0,4.0,,3.0,3.0,,3.0,4.0,7,5.238644444444445
2.0,2.0,,2.0,,4.0,,4.0,3.0,4.0,,2.0,4.0,4.0,,,4.0,4.0,,2.0,2.0,5.0,5.0,,,1.0,2.0,,2.0,4.0,4.0,,4.0,,4.0,3.0,4.0,2.0,,,3.0,3.0,2.0,,4.0,7,5.319488888888889
