E1_1,E1_2,E1_3,E2_1,E2_2,E2_3,E3_1,E3_2,E3_3,A1_1,A1_2,A1_3,A2_1,A2_2,A2_3,A3_1,A3_2,A3_3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,N1_1,N1_2,N1_3,N2_1,N2_2,N2_3,N3_1,N3_2,N3_3,O1_1,O1_2,O1_3,O2_1,O2_2,O2_3,O3_1,O3_2,O3_3,PID,day
4.0,,2.0,3.0,3.0,,3.0,,3.0,4.0,2.0,,4.0,,2.0,,2.0,2.0,4.0,,2.0,2.0,2.0,,,2.0,2.0,3.0,,3.0,2.0,,2.0,4.0,4.0,,3.0,3.0,,4.0,,4.0,3.0,3.0,,15,18.321011111111112
,4.0,2.0,,3.0,3.0,,3.0,3.0,4.0,,2.0,4.0,,2.0,,4.0,3.0,4.0,2.0,,2.0,2.0,,,2.0,2.0,3.0,3.0,,,4.0,3.0,,4.0,2.0,3.0,,3.0,3.0,3.0,,3.0,3.0,,15,18.4005
3.0,3.0,,,3.0,3.0,,3.0,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,,3.0,3.0,,3.0,,3.0,,3.0,3.0,,3.0,3.0,3.0,,3.0,,2.0,2.0,3.0,,3.0,15,19.04897777777778
,4.0,2.0,,3.0,3.0,3.0,3.0,,4.0,2.0,,,4.0,2.0,4.0,,2.0,,2.0,2.0,4.0,4.0,,,2.0,2.0,3.0,,3.0,3.0,3.0,,4.0,,2.0,3.0,3.0,,5.0,5.0,,2.0,4.0,,15,19.1101
,3.0,3.0,2.0,,4.0,3.0,,3.0,3.0,,3.0,,4.0,2.0,,2.0,2.0,4.0,,2.0,,4.0,2.0,4.0,2.0,,3.0,,3.0,2.0,,2.0,,4.0,2.0,3.0,3.0,,4.0,4.0,,3.0,3.0,,15,19.2388
,2.0,3.0,2.0,,4.0,,3.0,3.0,4.0,,2.0,4.0,,2.0,4.0,,2.0,3.0,3.0,,4.0,,2.0,3.0,3.0,,3.0,,3.0,2.0,4.0,,,4.0,2.0,,3.0,3.0,4.0,,4.0,,3.0,3.0,15,20.03502222222222
4.0,,2.0,3.0,,3.0,,3.0,3.0,,2.0,2.0,4.0,,2.0,4.0,2.0,,4.0,2.0,,4.0,,2.0,,2.0,2.0,3.0,3.0,,3.0,,3.0,4.0,4.0,,,3.0,3.0,4.0,,4.0,3.0,3.0,,15,20.170822222222224
,4.0,2.0,3.0,,3.0,3.0,,3.0,,2.0,2.0,,4.0,2.0,5.0,,1.0,4.0,2.0,,5.0,,1.0,,1.0,1.0,3.0,3.0,,,4.0,2.0,,4.0,2.0,,2.0,4.0,4.0,4.0,,,3.0,3.0,15,20.32157777777778
4.0,4.0,,3.0,,3.0,,3.0,3.0,4.0,,2.0,4.0,,2.0,3.0,,3.0,2.0,,4.0,,3.0,3.0,4.0,2.0,,3.0,3.0,,2.0,,2.0,4.0,4.0,,2.0,,2.0,,4.0,4.0,3.0,3.0,,15,20.434755555555554
3.0,3.0,,3.0,3.0,,,3.0,3.0,3.0,3.0,,3.0,3.0,,3.0,3.0,,3.0,,3.0,3.0,3.0,,3.0,3.0,,3.0,3.0,,3.0,,3.0,4.0,4.0,,3.0,,3.0,4.0,4.0,,3.0,,3.0,15,21.038033333333335
4.0,,2.0,3.0,3.0,,3.0,3.0,,4.0,2.0,,,4.0,2.0,3.0,3.0,,,2.0,2.0,,4.0,2.0,4.0,,2.0,3.0,,3.0,2.0,4.0,,,4.0,2.0,3.0,3.0,,4.0,,4.0,,3.0,3.0,15,21.256566666666668
4.0,4.0,,2.0,2.0,,,3.0,3.0,4.0,,2.0,,4.0,2.0,4.0,2.0,,4.0,2.0,,4.0,4.0,,4.0,2.0,,,3.0,3.0,,3.0,3.0,4.0,,2.0,,3.0,3.0,4.0,,4.0,3.0,,3.0,15,21.376177777777777
4.0,,2.0,,2.0,4.0,3.0,,3.0,4.0,,2.0,4.0,,2.0,,2.0,2.0,4.0,2.0,,3.0,3.0,,4.0,,2.0,2.0,4.0,,2.0,,2.0,4.0,4.0,,3.0,3.0,,,4.0,4.0,3.0,,3.0,15,21.4116
3.0,,1.0,3.0,3.0,,2.0,,3.0,3.0,2.0,,3.0,3.0,,3.0,,3.0,2.0,,4.0,3.0,3.0,,4.0,3.0,,,4.0,2.0,,4.0,2.0,5.0,5.0,,,2.0,2.0,2.0,2.0,,3.0,,3.0,16,1.0529
4.0,5.0,,3.0,3.0,,2.0,,2.0,3.0,,1.0,3.0,,2.0,,1.0,1.0,,4.0,4.0,3.0,3.0,,,4.0,2.0,3.0,4.0,,3.0,5.0,,,4.0,1.0,,3.0,3.0,2.0,2.0,,,3.0,2.0,16,1.0968222222222221
,5.0,1.0,3.0,,3.0,,4.0,1.0,3.0,,2.0,4.0,3.0,,3.0,1.0,,3.0,,3.0,,1.0,5.0,3.0,4.0,,4.0,2.0,,1.0,5.0,,4.0,4.0,,,3.0,3.0,2.0,2.0,,4.0,,1.0,16,1.1680111111111111
5.0,5.0,,3.0,3.0,,,5.0,1.0,3.0,4.0,,,3.0,1.0,3.0,,1.0,3.0,,3.0,,1.0,5.0,,3.0,4.0,4.0,5.0,,1.0,5.0,,,2.0,2.0,2.0,,4.0,1.0,1.0,,4.0,4.0,,16,1.2432222222222222
5.0,5.0,,3.0,3.0,,3.0,4.0,,,1.0,1.0,,3.0,1.0,3.0,1.0,,3.0,,3.0,3.0,1.0,,,2.0,1.0,2.0,3.0,,1.0,5.0,,5.0,5.0,,1.0,4.0,,3.0,3.0,,4.0,,2.0,16,1.321811111111111
,1.0,1.0,3.0,3.0,,1.0,,3.0,,1.0,1.0,4.0,,1.0,3.0,,1.0,3.0,3.0,,4.0,4.0,,4.0,3.0,,2.0,5.0,,1.0,,1.0,4.0,4.0,,4.0,4.0,,,1.0,1.0,4.0,1.0,,16,2.0954555555555556
4.0,,4.0,,3.0,3.0,,1.0,2.0,3.0,3.0,,5.0,5.0,,3.0,,1.0,3.0,,3.0,4.0,,1.0,5.0,,1.0,1.0,,1.0,1.0,,1.0,5.0,,1.0,,1.0,5.0,3.0,3.0,,2.0,,5.0,16,2.2156555555555557
3.0,,3.0,,3.0,3.0,,4.0,3.0,3.0,3.0,,3.0,3.0,,,1.0,1.0,3.0,,3.0,3.0,,5.0,3.0,3.0,,1.0,,4.0,1.0,,1.0,5.0,,1.0,,3.0,3.0,,1.0,1.0,5.0,,1.0,16,2.240911111111111
5.0,,1.0,3.0,3.0,,4.0,5.0,,3.0,,3.0,3.0,3.0,,3.0,3.0,,3.0,,3.0,2.0,,4.0,3.0,,3.0,1.0,5.0,,,5.0,1.0,,5.0,1.0,3.0,,3.0,,1.0,1.0,3.0,3.0,,16,2.3204444444444445
,5.0,1.0,3.0,,3.0,4.0,,1.0,,1.0,1.0,3.0,,1.0,3.0,1.0,,3.0,3.0,,3.0,,1.0,,1.0,1.0,,5.0,4.0,1.0,5.0,,,5.0,1.0,1.0,,1.0,1.0,1.0,,3.0,3.0,,16,2.4041444444444444
1.0,,1.0,3.0,,3.0,1.0,1.0,,3.0,,3.0,,3.0,1.0,3.0,,1.0,3.0,,3.0,1.0,1.0,,3.0,,3.0,1.0,5.0,,1.0,4.0,,5.0,5.0,,,5.0,1.0,1.0,1.0,,5.0,,1.0,16,3.0471777777777778
5.0,,1.0,,3.0,3.0,,3.0,3.0,,3.0,1.0,4.0,,2.0,3.0,,1.0,3.0,,3.0,,2.0,3.0,3.0,3.0,,,3.0,3.0,1.0,,1.0,5.0,5.0,,3.0,,3.0,1.0,1.0,,,1.0,1.0,16,3.0830444444444445
3.0,2.0,,,3.0,3.0,2.0,4.0,,3.0,3.0,,3.0,,3.0,,1.0,1.0,3.0,3.0,,4.0,,3.0,,2.0,1.0,1.0,,3.0,1.0,5.0,,5.0,5.0,,1.0,,1.0,1.0,,1.0,5.0,,1.0,16,3.1586555555555558
1.0,1.0,,3.0,3.0,,,1.0,5.0,,1.0,3.0,,3.0,3.0,3.0,3.0,,,3.0,3.0,1.0,1.0,,3.0,3.0,,,5.0,5.0,1.0,,1.0,3.0,3.0,,1.0,,1.0,,1.0,1.0,5.0,,1.0,16,3.3369222222222223
1.0,,1.0,1.0,1.0,,2.0,,1.0,3.0,3.0,,3.0,,1.0,,1.0,1.0,2.0,,4.0,1.0,,4.0,3.0,,1.0,,5.0,3.0,,5.0,1.0,,5.0,1.0,1.0,4.0,,1.0,1.0,,2.0,,4.0,16,3.3998
1.0,,3.0,1.0,,3.0,1.0,,3.0,,1.0,1.0,3.0,,1.0,3.0,1.0,,,3.0,3.0,,1.0,3.0,,3.0,1.0,1.0,,5.0,1.0,,1.0,3.0,3.0,,,3.0,1.0,1.0,1.0,,3.0,,1.0,16,4.093666666666667
,1.0,3.0,,3.0,3.0,1.0,,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,,3.0,3.0,,1.0,,3.0,3.0,,3.0,1.0,,5.0,1.0,5.0,,,3.0,3.0,1.0,5.0,,,1.0,1.0,3.0,,1.0,16,4.173355555555555
3.0,,1.0,1.0,1.0,,2.0,,4.0,3.0,3.0,,3.0,,1.0,3.0,1.0,,,4.0,4.0,,1.0,4.0,3.0,,3.0,4.0,,2.0,1.0,,1.0,,5.0,1.0,,5.0,1.0,1.0,,1.0,,1.0,1.0,16,4.260766666666667
,1.0,1.0,4.0,,3.0,2.0,3.0,,3.0,,3.0,,3.0,3.0,3.0,3.0,,3.0,,3.0,,5.0,2.0,,3.0,1.0,3.0,,2.0,1.0,,1.0,5.0,5.0,,,4.0,2.0,,1.0,1.0,,1.0,2.0,16,4.3227
,1.0,3.0,3.0,3.0,,,1.0,3.0,3.0,,2.0,4.0,4.0,,,1.0,1.0,1.0,5.0,,2.0,,4.0,,1.0,1.0,4.0,,4.0,1.0,5.0,,,5.0,1.0,1.0,5.0,,1.0,1.0,,3.0,,3.0,16,5.158933333333334
3.0,1.0,,,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,,2.0,4.0,,3.0,2.0,,3.0,3.0,,4.0,5.0,,1.0,,1.0,5.0,5.0,,,5.0,2.0,1.0,1.0,,4.0,,3.0,16,6.043688888888889
,4.0,1.0,3.0,,3.0,,1.0,3.0,3.0,1.0,,,3.0,1.0,3.0,1.0,,,3.0,3.0,,4.0,3.0,3.0,,3.0,1.0,3.0,,,5.0,1.0,5.0,,1.0,,5.0,1.0,1.0,,1.0,,1.0,1.0,16,6.0853
4.0,4.0,,3.0,3.0,,2.0,,3.0,3.0,,3.0,3.0,,3.0,3.0,,1.0,,3.0,3.0,2.0,,4.0,,3.0,3.0,4.0,,2.0,,3.0,4.0,2.0,,4.0,4.0,,1.0,,1.0,1.0,5.0,,1.0,16,6.1672666666666665
3.0,1.0,,,3.0,3.0,1.0,1.0,,3.0,,3.0,3.0,,1.0,3.0,3.0,,3.0,3.0,,3.0,3.0,,3.0,3.0,,3.0,5.0,,1.0,,1.0,5.0,,1.0,1.0,5.0,,,1.0,1.0,5.0,1.0,,16,6.350466666666667
2.0,2.0,,,2.0,3.0,1.0,1.0,,,3.0,3.0,3.0,3.0,,3.0,,1.0,3.0,3.0,,,5.0,1.0,5.0,1.0,,,1.0,1.0,,4.0,1.0,1.0,1.0,,4.0,,1.0,,1.0,1.0,,3.0,3.0,16,7.085255555555555
3.0,3.0,,3.0,,3.0,1.0,,4.0,3.0,3.0,,3.0,3.0,,3.0,,1.0,3.0,3.0,,,3.0,3.0,3.0,,2.0,4.0,2.0,,1.0,5.0,,2.0,2.0,,3.0,,1.0,1.0,,1.0,5.0,1.0,,16,7.2186111111111115
,2.0,3.0,3.0,,3.0,1.0,,3.0,3.0,3.0,,,3.0,1.0,,1.0,1.0,3.0,,3.0,,2.0,4.0,,3.0,1.0,,2.0,2.0,1.0,4.0,,,3.0,4.0,4.0,5.0,,,1.0,1.0,3.0,1.0,,16,7.238555555555555
2.0,2.0,,3.0,3.0,,1.0,1.0,,,3.0,3.0,,3.0,1.0,3.0,1.0,,3.0,,3.0,1.0,,4.0,3.0,3.0,,4.0,2.0,,1.0,,1.0,3.0,3.0,,1.0,,1.0,,1.0,1.0,5.0,,1.0,16,7.320422222222223
1.0,1.0,,,3.0,3.0,1.0,,3.0,3.0,3.0,,3.0,,3.0,,1.0,1.0,,4.0,4.0,3.0,,4.0,,3.0,1.0,3.0,3.0,,1.0,,1.0,5.0,,1.0,1.0,5.0,,,1.0,1.0,,1.0,1.0,16,8.034044444444444
,2.0,3.0,,3.0,3.0,,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,1.0,,3.0,3.0,,,2.0,4.0,,3.0,1.0,,5.0,3.0,,4.0,1.0,5.0,5.0,,1.0,5.0,,1.0,,1.0,5.0,,1.0,16,8.088366666666667
4.0,,2.0,3.0,,3.0,,1.0,3.0,,3.0,1.0,3.0,,1.0,3.0,1.0,,3.0,3.0,,2.0,2.0,,3.0,,3.0,,2.0,3.0,,5.0,1.0,5.0,5.0,,1.0,5.0,,1.0,,1.0,,1.0,1.0,16,8.268522222222222
3.0,,3.0,3.0,3.0,,,1.0,3.0,,3.0,1.0,,3.0,1.0,,1.0,1.0,3.0,,3.0,3.0,3.0,,3.0,,1.0,,2.0,3.0,1.0,,1.0,5.0,5.0,,3.0,4.0,,1.0,1.0,,5.0,1.0,,16,8.327866666666667
1.0,1.0,,,3.0,3.0,,1.0,3.0,,3.0,3.0,3.0,,1.0,3.0,3.0,,3.0,,3.0,5.0,5.0,,,3.0,1.0,5.0,1.0,,,2.0,1.0,4.0,4.0,,5.0,3.0,,1.0,1.0,,,1.0,4.0,16,8.45218888888889
1.0,,3.0,3.0,,3.0,1.0,1.0,,3.0,,1.0,,3.0,1.0,3.0,,3.0,2.0,,3.0,1.0,1.0,,3.0,,3.0,1.0,,3.0,,5.0,1.0,,5.0,1.0,,5.0,1.0,,1.0,1.0,5.0,1.0,,16,9.000666666666667
4.0,,2.0,3.0,,3.0,,1.0,3.0,3.0,3.0,,,3.0,1.0,,1.0,1.0,,3.0,3.0,1.0,1.0,,3.0,3.0,,1.0,5.0,,1.0,4.0,,5.0,5.0,,4.0,4.0,,1.0,1.0,,,1.0,3.0,16,9.122488888888888
3.0,,1.0,,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,,1.0,,1.0,1.0,3.0,,3.0,2.0,,4.0,3.0,3.0,,2.0,,3.0,,3.0,1.0,,5.0,1.0,,4.0,1.0,1.0,,1.0,3.0,1.0,,16,9.245277777777778
3.0,,2.0,,3.0,3.0,2.0,1.0,,,3.0,3.0,4.0,4.0,,3.0,1.0,,2.0,,4.0,2.0,2.0,,3.0,,3.0,2.0,2.0,,,4.0,4.0,4.0,4.0,,2.0,5.0,,1.0,,1.0,3.0,3.0,,16,10.08151111111111
,4.0,3.0,,3.0,3.0,2.0,,3.0,3.0,3.0,,3.0,,2.0,3.0,1.0,,3.0,3.0,,3.0,4.0,,,2.0,2.0,4.0,,3.0,2.0,3.0,,,4.0,2.0,,4.0,1.0,1.0,1.0,,4.0,,2.0,16,10.159566666666667
3.0,,3.0,3.0,,3.0,3.0,1.0,,3.0,,3.0,3.0,3.0,,,1.0,1.0,,3.0,3.0,5.0,5.0,,3.0,3.0,,4.0,2.0,,,4.0,4.0,,2.0,4.0,,2.0,1.0,,1.0,1.0,2.0,,2.0,16,10.332511111111112
3.0,4.0,,3.0,,3.0,1.0,1.0,,3.0,3.0,,,3.0,1.0,3.0,1.0,,,3.0,3.0,,4.0,4.0,,3.0,3.0,4.0,,2.0,2.0,4.0,,3.0,2.0,,4.0,2.0,,,1.0,1.0,4.0,2.0,,16,10.428533333333334
,3.0,3.0,,3.0,3.0,1.0,3.0,,3.0,,3.0,,3.0,3.0,3.0,3.0,,,3.0,3.0,,1.0,5.0,3.0,,3.0,,5.0,5.0,,5.0,1.0,5.0,,1.0,1.0,,3.0,,1.0,1.0,5.0,1.0,,16,11.253566666666666
3.0,4.0,,,3.0,3.0,3.0,4.0,,3.0,4.0,,3.0,4.0,,3.0,,3.0,3.0,3.0,,,4.0,3.0,3.0,3.0,,,2.0,4.0,2.0,4.0,,,4.0,3.0,3.0,3.0,,4.0,4.0,,,4.0,3.0,16,11.332688888888889
1.0,,3.0,3.0,3.0,,2.0,,3.0,3.0,,3.0,,3.0,3.0,3.0,,3.0,3.0,,3.0,3.0,3.0,,,3.0,3.0,,5.0,4.0,1.0,4.0,,5.0,5.0,,,5.0,1.0,1.0,1.0,,2.0,1.0,,16,11.437388888888888
4.0,4.0,,3.0,3.0,,3.0,,3.0,3.0,,2.0,3.0,3.0,,3.0,,1.0,3.0,3.0,,2.0,3.0,,,3.0,3.0,,5.0,4.0,1.0,,1.0,5.0,5.0,,1.0,,1.0,,4.0,1.0,,1.0,1.0,16,12.183733333333333
,3.0,3.0,3.0,,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,,,1.0,1.0,3.0,,3.0,2.0,2.0,,,3.0,1.0,1.0,5.0,,1.0,1.0,,5.0,5.0,,1.0,5.0,,,4.0,4.0,,1.0,1.0,16,12.247033333333333
3.0,,3.0,3.0,3.0,,2.0,,3.0,3.0,3.0,,3.0,,3.0,3.0,,1.0,,3.0,3.0,3.0,1.0,,3.0,3.0,,1.0,,5.0,,1.0,1.0,3.0,3.0,,3.0,3.0,,3.0,3.0,,3.0,3.0,,16,12.26908888888889
,1.0,3.0,,3.0,3.0,3.0,3.0,,3.0,3.0,,3.0,,3.0,,1.0,1.0,,3.0,3.0,,3.0,1.0,,3.0,3.0,,5.0,3.0,,3.0,1.0,5.0,5.0,,,5.0,1.0,1.0,1.0,,,1.0,1.0,16,12.430122222222222
3.0,1.0,,3.0,,3.0,3.0,1.0,,3.0,3.0,,3.0,3.0,,3.0,,1.0,3.0,3.0,,4.0,4.0,,3.0,,3.0,,5.0,4.0,1.0,5.0,,5.0,,1.0,4.0,,4.0,1.0,,1.0,5.0,,1.0,16,13.101744444444444
,3.0,3.0,3.0,3.0,,3.0,1.0,,,3.0,3.0,,3.0,3.0,,3.0,3.0,3.0,,3.0,4.0,,2.0,3.0,,3.0,1.0,5.0,,1.0,,1.0,5.0,5.0,,1.0,,1.0,,1.0,1.0,4.0,1.0,,16,13.164888888888889
3.0,,3.0,3.0,3.0,,,1.0,3.0,,3.0,3.0,3.0,3.0,,3.0,1.0,,3.0,,3.0,5.0,,3.0,,3.0,3.0,1.0,5.0,,1.0,,1.0,5.0,,1.0,,3.0,3.0,1.0,,1.0,,1.0,1.0,16,13.322166666666666
,1.0,3.0,3.0,3.0,,1.0,,3.0,,3.0,3.0,3.0,,1.0,,1.0,1.0,3.0,3.0,,1.0,1.0,,,3.0,3.0,1.0,5.0,,1.0,,1.0,,5.0,1.0,1.0,5.0,,,1.0,1.0,3.0,1.0,,16,13.401144444444444
3.0,,3.0,3.0,3.0,,3.0,1.0,,,3.0,3.0,3.0,3.0,,,1.0,1.0,,2.0,2.0,5.0,,2.0,3.0,3.0,,,5.0,3.0,1.0,3.0,,5.0,5.0,,3.0,,3.0,1.0,1.0,,,3.0,3.0,16,14.022333333333334
,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,,3.0,,3.0,1.0,,5.0,3.0,,3.0,3.0,,5.0,,5.0,1.0,,3.0,3.0,,5.0,1.0,1.0,1.0,,3.0,,3.0,16,14.165355555555555
3.0,4.0,,3.0,3.0,,3.0,1.0,,3.0,3.0,,4.0,,1.0,3.0,,1.0,,3.0,3.0,4.0,2.0,,,2.0,2.0,2.0,,3.0,1.0,5.0,,5.0,5.0,,,2.0,4.0,3.0,,4.0,3.0,1.0,,16,14.243566666666666
3.0,,3.0,,3.0,3.0,1.0,3.0,,3.0,3.0,,3.0,,3.0,3.0,3.0,,3.0,,3.0,1.0,1.0,,3.0,3.0,,1.0,5.0,,1.0,3.0,,,5.0,1.0,,3.0,3.0,,3.0,3.0,3.0,,3.0,16,14.4301
,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,3.0,,,3.0,3.0,3.0,,3.0,,3.0,3.0,1.0,,3.0,,3.0,3.0,1.0,5.0,,1.0,,1.0,,5.0,1.0,,5.0,1.0,1.0,1.0,,3.0,1.0,,16,15.024977777777778
,4.0,3.0,,3.0,3.0,4.0,1.0,,3.0,3.0,,3.0,,1.0,3.0,,1.0,,3.0,3.0,,4.0,2.0,3.0,3.0,,1.0,5.0,,1.0,,1.0,5.0,,1.0,4.0,4.0,,,1.0,1.0,3.0,,3.0,16,15.1233
,3.0,3.0,3.0,3.0,,3.0,,4.0,3.0,3.0,,,3.0,3.0,3.0,,1.0,,3.0,3.0,,4.0,1.0,3.0,3.0,,,5.0,4.0,,4.0,1.0,,5.0,1.0,4.0,,3.0,1.0,,1.0,,3.0,3.0,16,15.170577777777778
4.0,3.0,,3.0,3.0,,,3.0,3.0,3.0,3.0,,,3.0,3.0,3.0,1.0,,,3.0,3.0,,3.0,2.0,,3.0,1.0,1.0,,4.0,,4.0,1.0,5.0,,1.0,4.0,,4.0,1.0,,1.0,4.0,1.0,,16,15.427544444444445
,1.0,3.0,3.0,3.0,,1.0,3.0,,3.0,,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,,,1.0,4.0,3.0,,3.0,4.0,3.0,,1.0,4.0,,5.0,,1.0,1.0,,3.0,,1.0,1.0,3.0,,1.0,16,15.959188888888889
,4.0,2.0,,3.0,3.0,4.0,,3.0,3.0,3.0,,,3.0,3.0,3.0,,1.0,,2.0,2.0,,5.0,1.0,,2.0,1.0,4.0,2.0,,1.0,1.0,,,5.0,1.0,5.0,2.0,,1.0,,1.0,3.0,,3.0,16,16.082977777777778
3.0,3.0,,3.0,,3.0,2.0,,3.0,,3.0,3.0,3.0,,3.0,3.0,,1.0,,3.0,3.0,,3.0,3.0,,3.0,3.0,1.0,5.0,,,3.0,1.0,,5.0,1.0,3.0,2.0,,1.0,1.0,,4.0,,1.0,16,16.242277777777776
,4.0,2.0,3.0,,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,1.0,,2.0,,4.0,,1.0,2.0,,3.0,3.0,1.0,,3.0,,5.0,1.0,,5.0,1.0,,4.0,1.0,3.0,,3.0,5.0,4.0,,16,16.339855555555555
,3.0,3.0,3.0,3.0,,1.0,3.0,,,3.0,3.0,3.0,,2.0,3.0,3.0,,,3.0,3.0,1.0,2.0,,,3.0,3.0,1.0,5.0,,1.0,4.0,,5.0,,1.0,1.0,3.0,,,1.0,1.0,3.0,,2.0,16,17.045944444444444
4.0,2.0,,3.0,3.0,,,1.0,3.0,,3.0,2.0,,3.0,2.0,,1.0,1.0,3.0,,3.0,3.0,,3.0,3.0,3.0,,,5.0,5.0,,5.0,1.0,,5.0,1.0,4.0,,2.0,1.0,,1.0,5.0,,1.0,16,17.11251111111111
4.0,,2.0,,3.0,3.0,4.0,3.0,,,3.0,3.0,,3.0,2.0,3.0,,1.0,3.0,3.0,,1.0,,3.0,3.0,3.0,,1.0,,5.0,1.0,,1.0,5.0,,1.0,2.0,3.0,,1.0,1.0,,5.0,1.0,,16,17.129155555555556
4.0,4.0,,,3.0,3.0,4.0,,3.0,3.0,,3.0,,3.0,2.0,4.0,,1.0,3.0,3.0,,1.0,1.0,,,3.0,3.0,1.0,,5.0,1.0,,1.0,5.0,,1.0,1.0,3.0,,,2.0,2.0,,1.0,1.0,16,17.165344444444443
4.0,3.0,,3.0,,3.0,,4.0,3.0,,2.0,2.0,,3.0,2.0,3.0,1.0,,,1.0,1.0,5.0,4.0,,,3.0,3.0,,5.0,5.0,,4.0,1.0,5.0,,1.0,3.0,3.0,,,2.0,2.0,3.0,1.0,,16,17.238833333333332
,4.0,2.0,,3.0,3.0,4.0,3.0,,3.0,,2.0,3.0,,2.0,,1.0,1.0,2.0,,3.0,3.0,3.0,,3.0,3.0,,1.0,5.0,,,4.0,1.0,,3.0,1.0,1.0,5.0,,1.0,1.0,,,4.0,1.0,16,17.39827777777778
,1.0,3.0,3.0,,3.0,,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,3.0,,3.0,,3.0,1.0,1.0,,3.0,3.0,,,5.0,5.0,,4.0,1.0,5.0,5.0,,1.0,,1.0,1.0,1.0,,3.0,1.0,,16,18.08567777777778
2.0,4.0,,3.0,3.0,,2.0,2.0,,3.0,,3.0,3.0,3.0,,,1.0,1.0,,3.0,3.0,1.0,,4.0,3.0,3.0,,1.0,5.0,,,2.0,1.0,5.0,,1.0,1.0,5.0,,,4.0,4.0,2.0,,3.0,16,18.183066666666665
5.0,5.0,,3.0,3.0,,5.0,,1.0,3.0,,1.0,4.0,4.0,,3.0,1.0,,3.0,3.0,,1.0,,1.0,,3.0,3.0,1.0,,4.0,1.0,3.0,,5.0,5.0,,1.0,,1.0,,3.0,3.0,3.0,,3.0,16,18.321466666666666
3.0,,2.0,3.0,3.0,,,4.0,2.0,3.0,3.0,,3.0,,3.0,3.0,3.0,,3.0,,3.0,,1.0,3.0,3.0,,3.0,1.0,5.0,,1.0,2.0,,5.0,,1.0,,5.0,1.0,4.0,4.0,,,3.0,3.0,16,18.402077777777777
,1.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,,3.0,3.0,,3.0,1.0,,2.0,,4.0,1.0,,5.0,3.0,,3.0,1.0,,5.0,3.0,3.0,,3.0,,3.0,,2.0,3.0,1.0,,1.0,5.0,,1.0,16,19.019255555555556
,1.0,3.0,3.0,,3.0,1.0,,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,,3.0,3.0,,1.0,1.0,,,3.0,3.0,,3.0,3.0,1.0,3.0,,,3.0,3.0,1.0,3.0,,3.0,3.0,,3.0,,3.0,16,19.14677777777778
1.0,1.0,,,3.0,3.0,1.0,1.0,,,3.0,3.0,,3.0,3.0,3.0,3.0,,,3.0,3.0,,1.0,5.0,3.0,,3.0,1.0,5.0,,,3.0,1.0,5.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,16,19.163344444444444
4.0,,1.0,,3.0,3.0,3.0,1.0,,3.0,,3.0,3.0,,1.0,,1.0,1.0,,3.0,3.0,,1.0,4.0,,3.0,3.0,,5.0,5.0,1.0,2.0,,,5.0,1.0,,3.0,3.0,2.0,2.0,,,1.0,1.0,16,19.32721111111111
,5.0,1.0,3.0,3.0,,5.0,,2.0,3.0,3.0,,3.0,,3.0,,1.0,1.0,3.0,3.0,,,1.0,5.0,3.0,3.0,,1.0,5.0,,1.0,,1.0,5.0,5.0,,1.0,,3.0,,4.0,4.0,1.0,,1.0,16,19.399633333333334
,4.0,3.0,,3.0,3.0,2.0,,3.0,3.0,,3.0,,3.0,3.0,3.0,1.0,,,4.0,4.0,2.0,1.0,,3.0,,3.0,,5.0,5.0,,2.0,1.0,5.0,5.0,,1.0,5.0,,1.0,,1.0,5.0,1.0,,16,20.04911111111111
4.0,4.0,,,3.0,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,,,1.0,1.0,3.0,3.0,,3.0,,1.0,3.0,3.0,,1.0,,5.0,1.0,3.0,,5.0,,1.0,,3.0,3.0,1.0,1.0,,5.0,,1.0,16,20.085077777777776
,1.0,3.0,3.0,3.0,,2.0,,3.0,3.0,3.0,,,3.0,3.0,3.0,,1.0,3.0,,3.0,4.0,,1.0,3.0,3.0,,4.0,,3.0,1.0,,1.0,5.0,,1.0,4.0,,3.0,,1.0,1.0,,1.0,3.0,16,20.162633333333332
,2.0,3.0,3.0,,3.0,3.0,,3.0,3.0,,3.0,3.0,,3.0,,1.0,1.0,3.0,3.0,,,5.0,2.0,,3.0,3.0,1.0,5.0,,1.0,,1.0,5.0,5.0,,,2.0,3.0,1.0,,1.0,5.0,1.0,,16,20.322566666666667
